"Time","Boost pressure","Engine oil pressure","Engine oil level","Engine oil level","Cam position","TAG"
"sec","mbar","bar","l","mm","deg."," "
0.00,1004.0000,2.4000,4.4290,63.9000,454.2500,""
0.48,1004.0000,2.4000,4.4290,63.9000,454.0600,""
0.82,1004.0000,2.4000,4.4290,63.9000,634.2500,""
1.18,1004.0000,2.4000,4.4290,63.9000,21.0600,""
1.52,1004.0000,2.4000,4.4290,63.9000,129.6900,""
1.86,1004.0000,2.3600,4.4290,63.9000,129.7500,""
2.22,1004.0000,2.3600,4.4290,63.9000,454.0600,""
2.56,1004.0000,2.4000,4.4290,63.9000,454.0600,""
2.90,1004.0000,2.4000,4.4290,63.9000,561.0600,""
3.23,1004.0000,2.4000,4.4290,63.9000,634.5000,""
3.56,1004.0000,2.4000,4.4290,63.9000,634.2500,""
3.92,1001.0000,2.4800,4.4290,63.9000,21.3800,""
4.26,1010.0000,2.6400,4.4290,63.9000,94.0000,""
4.54,1010.0000,2.4800,4.4290,63.8000,273.6900,""
4.94,1010.0000,2.3600,4.4290,63.8000,130.0600,""
5.30,1014.0000,2.3200,4.4290,63.8000,561.2500,""
5.68,1010.0000,2.3200,4.4290,63.8000,309.8800,""
6.05,1014.0000,2.2800,4.4290,63.8000,454.0000,""
6.38,1014.0000,2.3200,4.4290,63.8000,634.1900,""
6.80,1010.0000,2.3200,4.4290,64.6000,309.7500,""
7.14,1004.0000,2.3600,4.4290,64.6000,21.3800,""
7.49,1004.0000,2.6000,4.4290,64.7000,634.8800,""
7.86,1042.0000,2.7600,4.4290,65.8000,561.8800,""
8.19,1113.0000,2.9200,4.4290,65.8000,561.8800,""
8.56,1193.0000,2.9600,4.4290,66.0000,21.5600,""
8.93,1116.0000,2.9600,4.4290,66.0000,634.8800,""
9.23,1090.0000,2.9200,4.4290,66.0000,634.7500,""
9.62,1074.0000,2.8400,4.4290,66.3000,454.5000,""
9.98,1058.0000,2.8000,4.4290,66.3000,130.3800,""
10.37,1046.0000,2.8000,4.4290,66.3000,21.5600,""
10.70,1042.0000,2.7600,4.4290,67.5000,454.5000,""
11.09,1036.0000,2.7200,4.4290,67.5000,561.5600,""
11.47,1033.0000,2.6400,4.4290,67.5000,21.6900,""
11.84,1030.0000,2.6400,4.4290,68.6000,310.0600,""
12.19,1030.0000,2.5600,4.4290,68.6000,561.5000,""
12.59,1026.0000,2.4800,4.4290,68.6000,94.0600,""
12.94,1020.0000,2.3200,4.4290,68.6000,310.0000,""
13.28,1017.0000,2.2400,4.4290,68.6000,94.0600,""
13.65,1017.0000,2.2400,4.4290,68.6000,561.2500,""
13.97,1017.0000,2.2800,4.4290,68.6000,634.2500,""
14.35,1017.0000,2.2800,4.4290,68.6000,309.6900,""
14.69,1014.0000,2.2800,4.4290,68.3000,309.7500,""
15.07,1014.0000,2.3200,4.4290,68.3000,634.1900,""
15.42,1014.0000,2.3200,4.4290,68.3000,94.0000,""
15.74,1014.0000,2.3200,4.4290,67.5000,21.0000,""
16.09,1014.0000,2.3200,4.4290,67.5000,129.7500,""
16.45,1010.0000,2.3200,4.4290,67.5000,309.7500,""
16.80,1010.0000,2.3600,4.4290,64.9000,454.0600,""
17.15,1010.0000,2.3600,4.4290,64.9000,561.3800,""
17.50,1010.0000,2.3600,4.4290,64.8000,634.1900,""
17.89,1010.0000,2.3600,4.4290,60.8000,129.7500,""
18.22,1004.0000,2.3600,4.4290,60.8000,309.7500,""
18.56,1004.0000,2.3600,4.4290,57.7000,309.8800,""
18.89,1010.0000,2.3600,4.4290,57.7000,309.7500,""
19.23,1004.0000,2.3600,4.4290,57.7000,454.0000,""
19.62,1004.0000,2.3600,4.4290,56.6000,634.1900,""
19.98,1004.0000,2.3600,4.4290,56.6000,130.0000,""
20.38,1004.0000,2.4800,4.4290,56.6000,454.1900,""
20.69,1004.0000,2.6400,4.4290,56.6000,94.2500,""
21.09,1010.0000,2.6800,4.4290,56.6000,561.5600,""
21.49,1010.0000,2.6800,4.4290,56.5000,310.1900,""
21.81,1014.0000,2.6800,4.4290,56.6000,21.5000,""
22.16,1014.0000,2.7200,4.4290,56.6000,561.6900,""
22.53,1014.0000,2.7600,4.4290,57.7000,454.5600,""
22.91,1020.0000,2.8000,4.4290,57.7000,454.5000,""
23.28,1030.0000,2.8400,4.4290,57.7000,130.1900,""
23.63,1033.0000,2.8800,4.4290,58.0000,634.6900,""
24.03,1036.0000,2.9600,4.4290,58.0000,130.1900,""
24.43,1042.0000,3.0000,4.4290,58.0000,130.2500,""
24.80,1052.0000,3.0800,4.4290,58.6000,130.5000,""
25.17,1068.0000,4.1600,4.4290,58.6000,562.0000,""
25.57,1065.0000,4.3600,4.4290,58.8000,634.8800,""
25.89,1062.0000,4.3600,4.4290,58.8000,130.5000,""
26.21,1052.0000,4.4000,4.4290,58.8000,634.8800,""
26.53,1052.0000,3.2800,4.4290,59.4000,94.5600,""
26.82,1046.0000,3.0000,4.4290,59.4000,454.5000,""
27.12,1046.0000,2.9200,4.4290,59.4000,310.2500,""
27.44,1036.0000,2.8400,4.4290,59.4000,454.5600,""
27.77,1033.0000,2.8400,4.4290,61.6000,635.0000,""
28.08,1020.0000,2.8400,4.4290,61.6000,130.5600,""
28.40,1062.0000,2.8400,4.4290,61.6000,561.6900,""
28.70,1094.0000,2.8800,4.4290,62.5000,130.3800,""
29.02,1081.0000,2.8800,4.4290,62.5000,310.0600,""
29.33,1065.0000,2.8400,4.4290,62.5000,561.7500,""
29.63,1058.0000,2.8000,4.4290,63.3000,454.5000,""
29.98,1052.0000,2.7600,4.4290,63.3000,561.5600,""
30.34,1026.0000,2.6800,4.4290,63.3000,130.2500,""
30.66,1062.0000,2.8400,4.4290,63.4000,561.6900,""
31.01,1058.0000,2.9200,4.4290,63.4000,21.6900,""
31.33,1052.0000,2.8800,4.4290,63.4000,634.6900,""
31.68,1046.0000,2.8000,4.4290,63.4000,130.5000,""
32.00,1046.0000,2.7200,4.4290,63.4000,634.5600,""
32.32,1042.0000,2.6000,4.4290,63.4000,454.3800,""
32.64,1036.0000,2.4400,4.4290,62.8000,273.8800,""
32.96,1033.0000,2.3600,4.4290,62.8000,634.5000,""
33.28,1030.0000,2.4000,4.4290,62.8000,561.7500,""
33.63,1026.0000,2.4800,4.4290,62.8000,310.5000,""
34.00,1017.0000,2.6800,4.4290,62.8000,130.2500,""
34.30,1122.0000,2.8400,4.4290,62.8000,310.2500,""
34.64,1228.0000,2.9200,4.4290,61.5000,454.6900,""
34.98,1254.0000,2.9600,4.4290,61.5000,561.7500,""
35.30,1292.0000,2.9600,4.4290,61.5000,310.0000,""
35.65,1266.0000,2.8400,4.4290,60.3000,130.0600,""
35.98,1260.0000,2.8400,4.4290,60.3000,130.5000,""
36.34,1324.0000,2.9600,4.4290,60.3000,455.0000,""
36.67,1414.0000,4.2000,4.4290,60.1000,130.5000,""
37.04,1538.0000,4.3600,4.4290,60.1000,635.0600,""
37.36,1490.0000,4.4400,4.4290,60.1000,454.8800,""
37.73,1545.0000,4.4800,4.4290,60.0000,130.5000,""
38.03,1612.0000,4.4800,4.4290,60.0000,310.7500,""
38.37,1705.0000,4.4800,4.4290,60.0000,22.0000,""
38.69,1756.0000,4.4800,4.4290,62.4000,455.1900,""
39.02,1801.0000,4.4800,4.4290,62.4000,130.7500,""
39.36,1849.0000,4.4400,4.4290,62.4000,130.5600,""
39.66,1865.0000,4.4800,4.4290,68.2000,22.0600,""
39.98,1769.0000,4.4800,4.4290,68.2000,21.7500,""
40.34,1260.0000,4.4400,4.4290,68.2000,454.6900,""
40.67,1154.0000,4.1200,4.4290,75.0000,310.2500,""
41.01,1116.0000,3.3600,4.4290,75.0000,561.7500,""
41.33,1100.0000,3.1200,4.4290,75.0000,561.7500,""
41.65,1084.0000,3.0400,4.4290,77.8000,454.5600,""
42.00,1074.0000,3.0400,4.4290,77.8000,21.7500,""
42.35,1068.0000,3.0000,4.4290,77.8000,561.7500,""
42.67,1068.0000,3.0000,4.4290,77.8000,310.1900,""
43.01,1065.0000,3.0000,4.4290,77.8000,310.2500,""
43.31,1062.0000,2.9600,4.4290,77.8000,130.3800,""
43.68,1062.0000,2.9200,4.4290,77.9000,454.5000,""
44.02,1052.0000,2.8800,4.4290,77.9000,21.6900,""
44.38,1049.0000,2.8400,4.4290,77.9000,454.6900,""
44.70,1074.0000,2.8800,4.4290,74.5000,635.0000,""
45.09,1094.0000,2.9200,4.4290,74.5000,21.7500,""
45.46,1078.0000,2.8800,4.4290,74.5000,130.2500,""
45.81,1068.0000,2.8800,4.4290,68.7000,310.1900,""
46.14,1062.0000,2.8800,4.4290,68.7000,454.5000,""
46.46,1062.0000,2.8400,4.4290,68.7000,310.0600,""
